"sub"	"race"	"Condition"	"TrialType"	"CueType"	"ProbeType"	"mapping"	"rt"	"acc"	"C"	"A"
49	"white"	"neutHisp"	"NeutGun"	"abstract"	"weapon"	"RightGun"	318.72602739726	0.63013698630137	0.13013698630137	0.574803149606299
50	"white"	"neutHisp"	"HispGun"	"hispanic"	"weapon"	"LeftGun"	507.164383561644	0.958904109589041	0.873189823874755	0.675925925925926
50	"white"	"neutHisp"	"NeutGun"	"abstract"	"weapon"	"LeftGun"	510.013157894737	0.881578947368421	0.823607932875667	0.32864864864865
51	"white"	"BlackHisp"	"BlackGun"	"black"	"weapon"	"RightGun"	242.87323943662	0.661971830985915	0.168821146054408	0.593314763231198
51	"white"	"BlackHisp"	"HispGun"	"hispanic"	"weapon"	"RightGun"	268.58904109589	0.616438356164384	0.151649623770018	0.547873550147828
53	"white"	"WhiteHisp"	"HispGun"	"hispanic"	"weapon"	"RightGun"	418.243243243243	0.945945945945946	0.851351351351351	0.636363636363638
53	"white"	"WhiteHisp"	"WhiteGun"	"white"	"weapon"	"RightGun"	417.842857142857	0.914285714285714	0.828571428571428	0.5
55	"white"	"neutHisp"	"HispGun"	"hispanic"	"weapon"	"RightGun"	377.5	0.837837837837838	0.494980694980695	0.678899082568808
55	"white"	"neutHisp"	"NeutGun"	"abstract"	"weapon"	"RightGun"	399	0.75	0.458333333333333	0.538461538461539
56	"white"	"neutHisp"	"HispGun"	"hispanic"	"weapon"	"LeftGun"	398.86301369863	0.767123287671233	0.51360216091067	0.521221737405791
56	"white"	"neutHisp"	"NeutGun"	"abstract"	"weapon"	"LeftGun"	419.694444444444	0.736111111111111	0.611111111111111	0.321428571428571
57	"white"	"BlackHisp"	"BlackGun"	"black"	"weapon"	"RightGun"	410.095890410959	0.712328767123288	0.255185909980431	0.613767735155019
57	"white"	"BlackHisp"	"HispGun"	"hispanic"	"weapon"	"RightGun"	379.96	0.693333333333333	0.321904761904762	0.547752808988763
58	"white"	"BlackHisp"	"BlackGun"	"black"	"weapon"	"LeftGun"	399.295774647887	0.915492957746479	0.818270735524257	0.534983853606028
58	"white"	"BlackHisp"	"HispGun"	"hispanic"	"weapon"	"LeftGun"	404.140845070423	0.845070422535211	0.777502854967643	0.303678357570574
61	"white"	"neutHisp"	"HispGun"	"hispanic"	"weapon"	"RightGun"	373.183098591549	0.816901408450704	0.691901408450704	0.405714285714285
